,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,,القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26b: Bank Clearing of Commercial and Personal Cheques by Cities,,,,,,,,,,,,,جدول 26b: عمليات المقاصة المصرفية للشيكات التجارية للشركات والأفراد حسب المدن,,,Contd.2 table 26b: Bank Clearing of Commercial and Personal Cheques by Cities,,,,,,,,,,,تابع 2 جدول 26b: عمليات المقاصة المصرفية للشيكات التجارية للشركات والأفراد حسب المدن,
(Value in Million ﷼),,,,,,,,,,,,, (القيمة بالمليون ﷼),,,(Value in Million ﷼),,,,,,,,,,, (القيمة بالمليون ﷼),
,,Jeddah    جدة,,Riyadh  الرياض,,Dammam   الدمام,,Abha  أبهـا,,Buraydah  بريدة,,Almadinah   المدينة,,,,,,Ta'if  الطائف,,Makkah  مكــــة,,Tabuk  تبـوك,,Jazan  جازان,,Grand Total  الإجمالي,,
Q4,2020,10850.00782077,103459,22620.96859497,175488,8952.47244581,138190,1625.17229472,16997,2746.69792053,24806,1628.97019749,9476,,,Q4,2020,717.27308725,4787,2292.52277475,11851,619.86056157,5960,390.93352104,3272,52444.879218900016,494286,
Q1,2021,10080.23097106,90164,22559.36282058,152858,8249.70803518,124357,1761.94584691,14579,2950.24641706,21384,1968.92011846,8529,,,Q1,2021,705.7914743,4071,2323.42456513,10576,443.05466549,5431,492.51291694,3032,51535.19783111,434981,
Q2,2021,10011.90969603,82450,17963.96925598,138941,7311.3223405,110808,1528.77072296,14383,2291.18687939,18503,1784.42001553,7545,,,Q2,2021,610.27616073,4058,1982.07228669,9709,379.90614703,5003,305.12497381,2720,44168.95847865,394120,
Q3,2021,8548.23135386,78626,16616.04718502,127173,6824.04903109,104976,1346.27419453,14795,2327.9141438,16575,1211.82141694,6693,,,Q3,2021,659.87366743,4212,1928.66894907,9346,335.08090397,4797,444.15697668,2579,40242.11782239001,369772,
Q4,2021,9373.92122706,72788,17006.79687422,132999,7298.15635163,103335,1328.09546712,14860,2594.69692677,17846,1525.27896951,7237,,,Q4,2021,706.10295631,4318,1965.69508258,9984,334.54148323,4574,452.24740501,2983,42585.53274344,370924,
Q1,2022,7767.31024979,65908,16885.61141239,116401,6465.04104902,93333,1292.25738118,14395,3225.26797496,16830,1278.022865,6648,,,Q1,2022,652.507566,4391,2343.656608,9711,348.3058715,4151,342.274,2721,40600.25497784,334489,
Q2,2022,8873.28495402,60386,13824.55295235,105883,7058.52097914,87597,1225.29796079,14031,2385.21290898,15715,1683.64367812,6236,,,Q2,2022,1058.9469586,4264,2400.10860458,8541,235.51456941,4114,332.49639917,2456,39077.579965159995,309223,
Q3,2022,6845.72288467,52165,13943.26224056,95060,6812.59322793,79305,1430.33892252,13240,1953.87440482,13182,1542.54980095,7642,,,Q3,2022,819.05708657,4474,1766.28042223,7685,261.85827614,3926,250.27160011,2013,35625.8088665,278692,
Q4,2022,6650.27002296,53124,13932.59300968,101517,7364.368262,85880,1633.53351888,13397,1923.28647829,14097,1503.20067869,9389,,,Q4,2022,823.32246086,4486,1618.68750631,5686,260.38221631,4649,325.10943093,2449,36034.75358491,294674,
Q1,2023,7244.066,48846,13213.276,91431,5421.57,76022,2483.22428,12215,2024.918007,13338,1817.04483,8696,,,Q1,2023,597.256094,4135,2570.274286,7689,272.111156,4203,274.217211,2481,35917.957863999996,269056,
Q2,2023,4858.6422553,34172,7169.87260462,44320,6253.40442565,82423,1382.24865339,9870,1610.15056061,11468,2197.05644877,6849,,,Q2,2023,432.02206517,3461,1791.51088483,6652,203.08329197,3601,237.39015507,1968,26135.381345380003,204784,
Q3,2023,5756.67679893,43389,10266.55952282,76857,4708.03260974,66868,1314.32102238,11173,1655.93450136,11643,1707.82549819,8040,,,Q3,2023,561.63481352,4151,2115.58858519,7407,293.6667426,3931,368.88296309,2188,28749.123057819994,235647,
Q4,2023,8705.16112232,46095,13054.85187384,78682,5371.54294497,69376,1495.73669215,11497,1894.53982037,11965,1660.35095072,7512,,,Q4,2023,512.47258765,3804,1962.21514705,6364,265.55667802,4186,394.66577553,2463,35317.093592619996,241944,
Q1,2024,17317.62669154,51377,19762.61793586,70110,4874.14996922,61006,1385.29492327,9784,1689.69704081,10695,1705.08704256,6212,,,Q1,2024,490.80844079,3276,2557.51245736,7064,289.54334108,3569,309.94207722,1925,50382.27991971,225018,
Q2,2024,10793.769,40945,19701.543,59776,4025.787,50066,1179.572,8622,1389.173,9040,1530.407,5698,,,Q2,2024,463.351,2684,2130.323,5837,281.137,2939,258.63,1524,41753.692,187131,
Q3,2024,7200.40985312,37740,19678.65792118,65956,4151.32758439,54019,1485.66943392,10251,2012.06386817,9899,1864.69706219,6391,,,Q3,2024,396.31006151,2567,2230.16914657,6539,510.77566463,4934,374.5683885,1816,39904.64898417999,200112,
Q4,2024,6848.61071319,38513,13606.40005038,64440,4627.75108226,54517,1289.33474952,9088,1605.78116024,9851,1774.88582016,5895,,,Q4,2024,---,---,3408.45267627,7045,864.80494036,7505,332.23131786,1851,34358.25251024,198705,
Q1,2025,7487.79940782,38530,12321.57339201,52422,4325.20008103,52281,936.97212558,7502,1698.26056951,8486,1917.9484293,5289,,,Q1,2025,---,---,2178.82747671,6451,430.91313242,3517,275.46131244,1289,31572.955926819992,175767,
Q2,2025,4923.45337963,30616,11488.23744715,49865,2738.14722509,31392,539.25340313,4559,1032.85590057,5299,901.97170883,2902,,,Q2,2025,---,---,2864.08476975,3935,298.19713001,3423,122.73257559,634,24908.93353975,132625,
Q3,2025,4856.94189441,30123,10627.56733827,49983,3955.02556869,43129,1343.614002,6753,1332.232716,7509,1261.98588948,3163,,,Q3,2025,---,---,2609.69596464,6033,909.00186498,6178,258.65264672,1044,27154.717885189995,153915,
Q4,2025,4084.420482,24996,12252.22585,48876,3581.037062,40405,796.9378657,5781,1327.375391,6680,1211.826408,3721,,,Q4,2025,---,---,1868.294269,4842,419.2320173,4418,252.4534883,1265,25793.802833300007,140984,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,ملاحظة:,,,Note:,,,,,,,,,,,ملاحظة:,
"In Q2 2020, no operations were performed at the clearing houses of the following branches: ",,,,,,,,,,,,,خلال الربع الثاني من عام 2020، لم يكن هناك غرف مقاصة في فروع ,,,"In Q2 2020, no operations were performed at the clearing houses of the following branches: ",,,,,,,,,,,خلال الربع الثاني من عام 2020، لم يكن هناك غرف مقاصة في فروع ,
"Makkah, Madinah, Tabuk, Ta’if, Jazan, Abha and Buraidah since these operations ",,,,,,,,,,,,, (مكة، المدينة، تبوك، الطائف، جازان،أبها وبريدة) حيث تم نقل عمليات غرف المقاصة,,,"Makkah, Madinah, Tabuk, Ta’if, Jazan, Abha and Buraidah since these operations ",,,,,,,,,,, (مكة، المدينة، تبوك، الطائف، جازان، أبها وبريدة) حيث تم نقل عمليات غرف المقاصة,
"had been transferred to the automatic branches in Riyadh, Jeddah and Dammam.",,,,,,,,,,,,, بتلك الفروع إلى الفروع الآلية في الرياض وجدة والدمام,,,"had been transferred to the automatic branches in Riyadh, Jeddah and Dammam.",,,,,,,,,,, بتلك الفروع إلى الفروع الآلية في الرياض وجدة والدمام,
