,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,,القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26c: Inter Bank Clearing of Commercial Cheques by Cities,,,,,,,,,,,,,جدول 26c: عمليات المقاصة المصرفية للشيكات التجارية بين المصارف حسب المدن,,,Contd.2 table 26c: Inter Bank Clearing of Commercial Cheques by Cities,,,,,,,,,,,تابع 2 جدول 26c: عمليات المقاصة المصرفية للشيكات التجارية بين المصارف حسب المدن
(Value in Million ﷼),,,,,,,,,,,,, (القيمة بالمليون ﷼),,,(Value in Million ﷼),,,,,,,,,,, (القيمة بالمليون ﷼)
,,Jeddah    جدة,,Riyadh  الرياض,,Dammam   الدمام,,Abha  أبهـا,,Buraydah  بريدة,,Almadinah   المدينة,,,,,,Ta'if  الطائف,,Makkah  مكــــة,,Tabuk  تبـوك,,Jazan  جازان,,Grand Total  الإجمالي,
Q2,2023,4895.63036266,7551,15122.83779833,14086,5771.98446931,13531,26.58576102,325,9.43570321,1236,75.51911423,1111,,,Q2,2023,13.17904917,76,51.04368334,513,191.28066194,435,2.32837793,309,26159.824981140006,39173
Q3,2023,7418.33145954,12711,28285.21209591,27900,8040.67872201,11585,29.5897787,337,26.4429592,2120,35.54337955,1328,,,Q3,2023,12.90702347,77,38.28664869,694,215.33585632,599,7.58699425,670,44109.91491764,58021
Q4,2023,7149.12646947,11484,30549.45720134,33172,5341.21012429,10953,52.1377363,403,11.91591265,1800,43.99306914,1176,,,Q4,2023,63.73729758,123,102.04225109,684,239.8070082,627,12.44610332,576,43565.87317338,60998
Q1,2024,7049.68495614,11935,35009.05070775,32371,5120.13344059,10217,32.29374429,384,13.95087114,1635,97.58584557,1049,,,Q1,2024,130.1262699,179,13.37793611,416,269.14179003,698,11.10296412,376,47746.44852564,59260
Q2,2024,7958.52308633,9724,29615.55957756,25762,6488.6961258,9234,32.2144352,348,15.32539171,1345,74.0111556,819,,,Q2,2024,92.22538369,169,11.57379306,288,249.92829951,482,3.58494662,458,44541.64219508001,48629
Q3,2024,7644.34512235,12326,43468.60171284,30627,7284.61174668,11059,61.73150874,314,5.47801377,2311,22.39013779,1027,,,Q3,2024,87.94861143,145,4.08008714,419,256.11150045,749,14.70439201,740,58850.00283319999,59717
Q4,2024,12163.90439288,14627,49213.67053263,36076,6487.27298282,11375,35.20936733,296,5.98366745,2410,26.74898437,898,,,Q4,2024,---,---,10.65061288,801,327.73382779,817,10.22332254,561,68281.39769068999,67861
Q1,2025,12555.54972276,13322,49370.99643789,31867,6410.26245647,10664,36.20436951,297,7.88082911,2131,15.27827585,728,,,Q1,2025,---,---,14.65658732,1675,289.20417502,739,6.0518348,275,68706.08468873,61698
Q2,2025,8993.47328644,11048,25399.73738431,19825,4878.50850878,6740,29.08005718,210,5.584126,603,0.69315867,160,,,Q2,2025,---,---,2.74654366,280,221.5892562,535,1.76068018,101,39533.17300142001,39502
Q3,2025,9058.04021665,10546,26407.9437698,20177,5759.6745087,7713,311.75542526,273,2.17628375,76,0.60593215,118,,,Q3,2025,---,---,12.86369452,41,161.07529016,334,4.08707523,99,41718.222196220006,39377
Q4,2025,8816.018936,9496,21020.28454,16391,5475.817784,7592,20.29032774,180,0.90694246,54,28.49232334,249,,,Q4,2025,---,---,3.9042687,23,173.8659385,534,4.9276863,69,35544.50874703999,34588
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,ملاحظة:,,,Note:,,,,,,,,,,,ملاحظة:
"In Q2 2020, no operations were performed at the clearing houses of the following branches: ",,,,,,,,,,,,,خلال الربع الثاني من عام 2020، لم يكن هناك غرف مقاصة في فروع ,,,"In Q2 2020, no operations were performed at the clearing houses of the following branches: ",,,,,,,,,,,خلال الربع الثاني من عام 2020، لم يكن هناك غرف مقاصة في فروع 
"Makkah, Madinah, Tabuk, Ta’if, Jazan, Abha and Buraidah since these operations ",,,,,,,,,,,,, (مكة، المدينة، تبوك، الطائف، جازان،أبها وبريدة) حيث تم نقل عمليات غرف المقاصة,,,"Makkah, Madinah, Tabuk, Ta’if, Jazan, Abha and Buraidah since these operations ",,,,,,,,,,, (مكة، المدينة، تبوك، الطائف، جازان، أبها وبريدة) حيث تم نقل عمليات غرف المقاصة
"had been transferred to the automatic branches in Riyadh, Jeddah and Dammam.",,,,,,,,,,,,, بتلك الفروع إلى الفروع الآلية في الرياض وجدة والدمام,,,"had been transferred to the automatic branches in Riyadh, Jeddah and Dammam.",,,,,,,,,,,بتلك الفروع إلى الفروع الآلية في الرياض وجدة والدمام
,,,,,,,,,,,,,,,,"At the end of the working day September 12, 2024, the operations ",,,,,,,,,,,بنهاية عمل يوم 12 سبتمبر 2024 م، تم إيقاف عمل غرفة المقاصة بمركز النقد الموحد بالطائف.
,,,,,,,,,,,,,,,,in clearing house at the Cash Center in Taif closed.,,,,,,,,,,,
