,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,القطاع الخارجي       External Sector,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,جدول 1: ميـزان المدفـوعــات,,Contd. 4 table 1: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تابع 4 جدول 1: ميـزان المدفـوعــات,,Contd.4 Table 1: Balance of Payments,,,,,,,,,,تابع 4 جدول 1: ميـزان المدفـوعــات,,,,,,,,,,,,,,,,,,,,,
(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,(مليون ﷼),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005-12-01T00:00:00,2006-12-31T00:00:00,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015-12-31T00:00:00,2016-12-31T00:00:00,2017-12-31T00:00:00,2018-12-31T00:00:00,2019-12-31T00:00:00,2020-12-31T00:00:00,2021-12-31T00:00:00,2022-12-31T00:00:00,2023-12-31T00:00:00,2024-12-31T00:00:00,2025-12-31T00:00:00,,,,,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,,
Credit,,,,,,,,,,,,,,,4018.82959103417,1702.47901094798,1897.93067402974,5567.949999999999,6203,7027.93511648287,7775.7053580353795,,دائــن,,Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.89378012624,1004.7378883592,1054.97478277716,1002.22313977157,405.36468130075,425.63266933534,446.91430280211,424.56735750978,451.90223072447,474.49706798493,498.22192138418,473.30945393616,1325.74337935111,1392.02974367719,1461.63123086105,1388.54564611065,1477,1551,1628,1547,دائــن,,Credit,1673.36963256718,1757.03710182148,1844.88895445278,1752.63942764143,2111.99576910137,1969.25275579746,1890.48264556556,1803.97418757099,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,14301.19606088843,13957.33469872633,13808.10433781187,14459.003722959229,15499.19976938842,16864.2409810667,11473.706810332871,12144.38972267808,16106.62593277054,19044.81344922907,22039.07664382663,24681.66522838094,24945.87364839572,28516.17350493453,31389.91849603968,28712.0823423694,29318.60703888836,44377,57031,60362.476203437196,63326.510626549265,,مديـن,,Debit,2095.12707181312,2738.62406429649,3691.03501878358,5432.54854383314,2415.82814428087,2474.98533526869,5077.17320189788,3840.11765636443,3949.1400739587,4328.60092454343,2872.57014944909,3308.69257500801,3498.22164317886,4653.56876749008,4439.87166039302,2907.53769832646,3111.75509165073,5156.58881511153,4111.02961002217,4484.86746428227,4188.76414797149,2265.27937879036,2113.96405682794,2905.69922674308,3288.43798229509,2913.2649928412,2250.59289165872,3692.09385588307,4005.8506264228,3757.070435314,3921.29206414968,4422.41280688406,4450.45064595356,4172.29748058146,4872.35336718996,5549.71195550409,7119.38589833191,5255.09212274197,4426.41821246541,5238.18041028734,6660.9894817987,5187.44527292347,5060.07337543628,7773.15709822249,6140.28675622213,5283.57500687607,5840.97911544627,7681.03276985125,6338.33180996706,4364.11190342206,7901.24106781304,9912.48872373237,6990.76787466386,7418.0111366754,7404.65978473754,9576.47969996288,7578.67240499432,7299.62914949303,6438.02190443642,7395.75888344563,8219.74871504367,6691.43531136438,6899.49351686723,7507.92949561308,7764.19196451348,12450.94021958093,9911.49970025923,14250.36811564636,12948,13685,15793,14605,مديـن,,Debit,13704.42944415679,14484.84775516008,16715.22214124437,15457.97686287596,13826.82,14614.20801603649,18467.498374,16417.98423651278,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.A.b.4 Insurance and pension services,-4028.59124194619,-4573.86905333695,-5192.48228614051,-5810.620476514151,-6258.04208773955,-6541.327944,-8020.389858500001,-9178.4594545,-9701.432703,-8851.776754,-8661.196694499999,-6402.014384,-6839.6992630328605,-7361.141324,-8023.31861860539,-7038.933986,-7973.15401083215,-11963.219999999988,-17246,-17784.505742681602,-17774.854514268773,,1.أ.ب.4 خدمات التأمين ومعاشات التقاعد,,1.A.b.4 Insurance and pension services,-1040.02167584926,-1141.7141207354998,-1288.4761662062701,-1103.6570905459198,-1285.43564119732,-1231.6153268645999,-1462.7225905138,-1212.70872756479,-1461.27067534012,-1600.44129542776,-1638.43770536686,-1110.47080037941,-1256.18020432958,-1751.61552864782,-1439.04638972987,-1811.19996503228,-1455.2079024999998,-1757.2001515,-1509.621049,-1819.2988409999998,-1714.2579485,-2069.629513,-2097.8917525,-2138.6106445,-2216.709186,-2280.8055605,-2334.101394,-2346.843314,-2438.6474315,-2547.102295,-2399.9677835,-2315.715193,-2109.6654875,-2050.022458,-2392.6299434999996,-2299.458865,-2272.3563205,-2036.5188925,-1905.3632825,-2446.9581989999997,-1812.3626,-1639.351196,-1259.820124,-1690.480464,-1753.91701213428,-1727.82925141611,-1714.318384,-1643.63461548247,-1712.146476,-1752.03642,-1769.935312,-2127.023116,-1816.0390072765301,-2083.3905609051203,-2061.14567972066,-2062.74337070308,-1807.082426,-1701.207154,-1665.275772,-1865.368634,-1971.6590332414498,-2031.170001,-1963.1258963239,-2007.1990802668,-2637.30743612237,-2979.633347762,-3196.49781871487,-3149.78139740075,-3140,-4351,-4904,-4851,1.أ.ب.4 خدمات التأمين ومعاشات التقاعد,,1.A.b.4 Insurance and pension services,-3161.71921960719,-4491.05317137776,-5102.65037216181,-5029.08297953484,-4519.835085148199,-5312.85556977228,-3961.0720328026796,-3981.09182654561,,1.أ.ب.4 خدمات التأمين ومعاشات التقاعد,,,,,,,,,,,,,,,,,,,,,
Credit,720.18248008247,778.51167674292,898.08431936736,1050.70069444458,1070.23665586893,1248.9,1081,1561.7,1921.6499999999999,737.15,1320.2,953.3499999999999,218.615,319.93,289.79999999999995,404.8,477.25,1955.7800000000102,2108,3578.6346271005,4572.3462519115,,دائــن,,Credit,172.84121181419,200.43770781814,59.5503334822,345.68242362839,199.38812314313,231.22320162816,68.69674830982,398.77624628625,233.27123626661,270.51622356969,80.37076207505,466.54247253323,365.10902892214,130.64327812143,387.60389800265,186.88045082271,305.9,230,402.5,310.5,311.65,247.25,267.95,254.15,265.65,404.8,448.5,442.75,453.1,506,477.25,485.3,139.15,437,48.3,112.7,154.1,450.8,391,324.3,139.15,253,333.5,227.7,8.855,33.81,12.65,163.3,104.19,107.64,19.55,88.55,82.8,79.35,55.2,72.45,94.3,98.9,110.4,101.2,103.5,120.75,123.05,129.95,331.44502410923,465.85220865855,538.59265431797,619.89011291426,490,503,544,571,دائــن,,Credit,845.10906066002,867.09514684762,910.45040913534,955.98001045752,1156.8949148518,1089.76735516113,1104.86680929562,1220.81717260295,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,4748.77372202866,5352.380730079869,6090.56660550787,6861.321170958729,7328.27874360848,7790.227944,9101.3898585,10740.159454499999,11623.082703,9588.926753999998,9981.3966945,7355.364384,7058.314263032859,7681.0713240000005,8313.118618605391,7443.733986,8450.40401083215,13919,19354,21363.1403697821,22347.20076618027,,مديـن,,Debit,1212.86288766345,1342.15182855364,1348.02649968847,1449.33951417431,1484.82376434045,1462.83852849276,1531.41933882362,1611.48497385104,1694.54191160673,1870.95751899745,1718.80846744191,1577.01327291264,1621.28923325172,1882.25880676925,1826.65028773252,1998.08041585499,1761.1079025,1987.2001515,1912.121049,2129.798841,2025.9079485,2316.879513,2365.8417525,2392.7606445,2482.359186,2685.6055605,2782.601394,2789.593314,2891.7474315,3053.102295,2877.2177835,2801.015193,2248.8154875,2487.022458,2440.9299435,2412.158865,2426.4563205,2487.3188925,2296.3632825,2771.258199,1951.5126,1892.351196,1593.320124,1918.180464,1762.77201213428,1761.63925141611,1726.968384,1806.93461548247,1816.336476,1859.67642,1789.485312,2215.573116,1898.83900727653,2162.74056090512,2116.34567972066,2135.19337070308,1901.382426,1800.107154,1775.675772,1966.568634,2075.15903324145,2151.920001,2086.1758963239,2137.1490802668,2968.7524602316,3445.48555642055,3735.09047303284,3769.67151031501,3630,4854,5448,5422,مديـن,,Debit,4006.82828026721,5358.14831822538,6013.10078129715,5985.06298999236,5676.73,6402.62292493341,5065.9388420983,5201.90899914856,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.A.b.5 Financial services,-2799.28077362203,-3553.88987096069,-3916.5010265077008,-3988.17979040077,-4504.32740674443,-4570.06349119785,-8177.775061913249,-4795.9521748997795,-3112.5062297615204,-5285.836230741431,-2649.62114860878,-4590.252439813379,-7814.193645319081,-10475.804823090051,-8297.62257736341,-2056.86732132458,-13019.76207413894,-5142.9400000000005,-5961,-4248.75257765792,-1970.5670234930803,,1.أ.ب.5 خدمات مالية,,1.A.b.5 Financial services,-606.4155550647899,-851.5206135799699,-1040.21118874877,-1055.7425135671601,-581.4314038040301,-919.34282432804,-1373.2983020851,-1042.4284962905301,-659.38596327015,-827.4334735142702,-1498.06974956735,-1003.290604049,-985.0828967998,-1287.33308224023,-1452.3342567825298,-779.57717092187,-979.1574690846,-1093.32468574545,-1163.69986757354,-1333.8814687942602,-1704.17388566397,-3628.38756896005,-1703.16798288264,-1142.04562440659,-2094.86210589924,-1072.61928563531,-528.49891674142,-1099.97186662381,-872.96660003798,-670.41974969963,-639.9680564320399,-929.15182359187,-773.64673609293,-1112.74940318945,-2428.49725953742,-970.94283192163,-816.7439517349501,-561.3166551167501,-384.8188670116899,-886.74167474539,-990.7360155747901,-925.03906747475,-392.49780724872994,-2281.9795495151097,-1167.05252241056,-3679.2134798368097,-967.4151852345001,-2000.5124578372101,-2604.59679732461,-2276.00203228794,-1837.7945861657902,-3757.4114073117103,-1442.01843188934,-1944.9411370655703,-1190.8832378900602,-3719.7797705184403,-1167.8946612326702,-603.9997141401,564.6987555538599,-849.67170150567,-5182.6571047342695,-1624.3538145590696,-978.2420746558,-5234.5090801898,-1031.89346689422,-2402.70167329425,-485.07728362907983,-1223.26757618245,-2400,-2009,-853,-699,1.أ.ب.5 خدمات مالية,,1.A.b.5 Financial services,-1931.9104721980798,-1550.4288994274998,-482.59071770325,-283.82248832909,-340.1113201523101,-319.1919595578902,-674.4747439253999,-636.7889998574799,,1.أ.ب.5 خدمات مالية,,,,,,,,,,,,,,,,,,,,,
Credit,1237.83660068295,1272.1204135644498,1323.30937440129,1390.4839847531298,1473.2584341384,1571.65523856944,1441.88553997196,1584.48960436479,1741.1973674338399,1913.4037004767501,2102.64142909533,2310.5949770278303,2742.0065166345203,1201.68161254386,2476.70454751728,2988.47751897537,5790.892819188461,3437.46,5961,6131.73996648266,6932.9724994302105,,دائــن,,Credit,194.02574573431,384.92204395677,409.95762405152,283.21499982185,201.83316411533,400.41095461589,426.45394353399,294.61131213608,212.07873814193,420.73685147512,448.10184994504,309.56654519104,154.11181916142,483.77861784268,363.05188167834,472.31611545596,269.17608714628,400.52555772789,417.26920040519,484.68439329008,95.85942648013,151.77742526021,435.36156193059,758.88712630103,242.28845891986,357.66391554836,449.96428085117,534.5729490454,125.20315518337,658.04449003353,553.22324383349,404.72647838345,238.58490586192,259.84494697832,578.74556372445,836.22828391206,193.99281039032,668.15765558199,580.74480463425,659.74615848877,287.2080411215,208.92133199354,964.86000791743,849.60559599536,404.03647887995,521.58923551718,786.11845432985,1030.26234790754,187.33383114547,249.31529359638,312.9810934103,452.05139439171,316.45524101912,485.32163139023,759.76422493177,915.16345017616,289.13345935947,580.17550321576,967.9106870786,1151.25786932154,174.35313278429,655.72522000793,2375.92667326136,2584.88779313488,433.11671589348,703.31109801181,1037.37356580872,1263.65862028599,1002,1258,1649,2052,دائــن,,Credit,1030.43895042133,1294.19417535415,1696.0331981748,2111.07364253238,1782.80867984769,2022.18960914,1510.6850143,1617.28919614252,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,4037.11737430498,4826.01028452514,5239.81040090899,5378.6637751539,5977.58584088283,6141.71872976729,9619.66060188521,6380.44177926457,4853.70359719536,7199.23993121818,4752.26257770411,6900.84741684121,10556.2001619536,11677.48643563391,10774.32712488069,5045.34484029995,18810.6548933274,8580.4,11922,10380.49254414058,8903.53952292329,,مديـن,,Debit,800.4413007991,1236.44265753674,1450.16881280029,1338.95751338901,783.26456791936,1319.75377894393,1799.75224561909,1337.03980842661,871.46470141208,1248.17032498939,1946.17159951239,1312.85714924004,1139.19471596122,1771.11170008291,1815.38613846087,1251.89328637783,1248.33355623088,1493.85024347334,1580.96906797873,1818.56586208434,1800.0333121441,3780.16499422026,2138.52954481323,1900.93275070762,2337.1505648191,1430.28320118367,978.46319759259,1634.54481566921,998.16975522135,1328.46423973316,1193.19130026553,1333.87830197532,1012.23164195485,1372.59435016777,3007.24282326187,1807.17111583369,1010.73676212527,1229.47431069874,965.56367164594,1546.48783323416,1277.94405669629,1133.96039946829,1357.35781516616,3131.58514551047,1571.08900129051,4200.80271535399,1753.53363956435,3030.77480574475,2791.93062847008,2525.31732588432,2150.77567957609,4209.46280170342,1758.47367290846,2430.2627684558,1950.64746282183,4634.9432206946,1457.02812059214,1184.17521735586,403.21193152474,2000.92957082721,5357.01023751856,2280.079034567,3354.16874791716,7819.39687332468,1465.0101827877,3106.01277130606,1522.4508494378,2486.92619646844,3402,3267,2502,2751,مديـن,,Debit,2962.34942261941,2844.62307478165,2178.62391587805,2394.89613086147,2122.92,2341.38156869789,2185.1597582254,2254.078196,,مديـن,,,,,,,,,,,,,,,,,,,,,
"1.A.b.6 Telecommunication,Computer and Information services",-6739.360070095439,-7640.120777106551,-8051.796966337939,-8703.74972997321,-9834.42834360505,-10765.09,-13093.27,-9772.66,-11722.279999999999,-15589.73,-14820.2025,-13876.765,-11842.53113849712,-5797.14650015431,-4020.34628970841,-3143.8117856441004,-2387.2550636045003,-5859.3999999999805,-6536.93626534645,-6765.071330030642,-5965.60829391386,, 1.أ.ب.6 خدمات الاتصالات والحاسب الالي والمعلومات   ,,"1.A.b.6 Telecommunication,Computer and Information services",-1264.21589017602,-1407.1160764994302,-1794.9033191173803,-3173.8854913137197,-2022.69043412237,-1616.57331153134,-2285.5007464207797,-2127.03247426345,-529.1657775415699,-1369.9806153703198,-2417.33406348091,-4387.26927358041,-2282.90856825994,-2546.47339545563,-3197.92250861965,-1807.1238712698298,-2182.33,-2915.38,-2013.9499999999998,-3653.4300000000003,-3113.71,-4608.469999999999,-2304.48,-3066.61,-3550.01,-2460.5499999999997,-787.8999999999999,-2974.2,-3748.14,-2184.5,-3020.46,-2769.1800000000003,-3120.05,-3492.68,-4399.95,-4577.05,-2987.2975,-3377.1000000000004,-3713.79,-4742.015,-2597.9,-3483.265,-3139.435,-4656.165,-2569.84455739475,-2479.94783312435,-2705.50054153806,-4087.2382064399594,-903.5833048646903,-1071.61887618892,-1910.47898083219,-1911.4653382685099,-597.6402079779998,-1113.638042647,-916.8266588820002,-1392.2413802014098,-1011.7010016750501,-987.6100523245202,-488.05111257650015,-656.44961906803,-672.16962666024,-783.86281599777,-489.00223603935024,-442.22038490714,-795.1460892777798,-1913.98299774712,-1522.7388964626202,-1627.5320165124601,-1678.9676240826898,-1673.9686412637602,-1210,-1974, 1.أ.ب.6 خدمات الاتصالات والحاسب الالي والمعلومات   ,,"1.A.b.6 Telecommunication,Computer and Information services",-1894.0386704413402,-1594.5843643069002,-1293.13551961073,-1983.31277567167,-1518.0260938669999,-1639.65697375522,-973.83843904895,-1834.0867872426902,, 1.أ.ب.6 خدمات الاتصالات والحاسب الالي والمعلومات   ,,,,,,,,,,,,,,,,,,,,,
Credit,1182.14076118584,1175.9205904690398,1203.5674965389499,1220.53455824918,1278.53522757674,1263.85,1137.35,1324.8,1283.4,1546.29,1087.9575,1176.565,1024.489,4998.035898835,6801.813284049999,5907.1882143559005,6313.7449363955,7401.66000000001,7762,8123.580951,9410.546669560881,,دائــن,,Credit,249.04868400764,301.68268423605,283.7100987922,341.47912343315,291.22781220506,304.28735535327,297.75758377917,310.29474520145,79.69881162976,271.03456160857,343.40811481648,526.39307019437,287.51272580666,370.18093449703,317.0608003988,303.78076687425,274.85,264.5,300.15,424.35,231.15,343.85,262.2,300.15,327.75,364.55,285.2,347.3,374.9,450.8,280.6,177.1,281.75,358.8,491.05,414.69,135.6425,153.18,273.47,525.665,160.77,257.255,307.625,450.915,144.946,230.92,230.736,417.887,1145.0318744154,1229.7351901471,1290.0129987826,1333.2558354899,1455.101392022,1772.887557353,1828.310141118,1745.514193557,1565.2814512215,1398.0164404195,1567.933,1375.9573227149,1472.713,1698.113,1585.3474363955,1557.5715,1871.11284218483,1809.8131659468,1944.95660140656,1775.77739046182,2045,1933,1783,2001,دائــن,,Credit,1982.79832569814,2161.83583531875,1822.98023377788,2155.96655620523,2271.623906133,2381.13653749423,2417.90675295105,2339.8794729826,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,7921.50083128128,8816.04136757559,9255.364462876889,9924.28428822239,11112.963571181792,12028.94,14230.62,11097.460000000001,13005.68,17136.02,15908.16,15053.33,12867.020138497119,10795.18239898931,10822.15957375841,9051,8701,13261.05999999999,14298.93626534645,14888.652281030641,15376.15496347474,,مديـن,,Debit,1513.26457418366,1708.79876073548,2078.61341790958,3515.36461474687,2313.91824632743,1920.86066688461,2583.25833019995,2437.3272194649,608.86458917133,1641.01517697889,2760.74217829739,4913.66234377478,2570.4212940666,2916.65432995266,3514.98330901845,2110.90463814408,2457.18,3179.88,2314.1,4077.78,3344.86,4952.32,2566.68,3366.76,3877.76,2825.1,1073.1,3321.5,4123.04,2635.3,3301.06,2946.28,3401.8,3851.48,4891,4991.74,3122.94,3530.28,3987.26,5267.68,2758.67,3740.52,3447.06,5107.08,2714.79055739475,2710.86783312435,2936.23654153806,4505.12520643996,2048.61517928009,2301.35406633602,3200.49197961479,3244.72117375841,2052.7416,2886.5256,2745.1368,3137.75557375841,2576.98245289655,2385.62649274402,2055.9841125765,2032.40694178293,2144.88262666024,2481.97581599777,2074.34967243485,1999.79188490714,2666.25893146261,3723.79616369392,3467.69549786918,3403.30940697428,3723.96762408269,3606.96864126376,2993,3975,مديـن,,Debit,3876.83699613948,3756.42019962565,3116.11575338861,4139.2793318769,3789.65,4020.79351124945,3391.745192,4173.96626022529,,مديـن,,,,,,,,,,,,,,,,,,,,,
"1.A.b.7 Personal, cultural, and recreational services",,,,,,,,,,,,,,,-3893.56865769894,-3391.96415972417,-3883.86312724829,-5500.5599999999995,-5860,-6386.295743624881,-4804.3516668105685,, 1.أ.ب.7 الخدمات الشخصية والثقافية والترفيهية,,"1.A.b.7 Personal, cultural, and recreational services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-922.20332135533,-1171.25358891151,-737.4235818876,-1062.6881655445,-791.73992050912,-1017.7891453517,-649.47911484406,-932.95597901929,-911.39957351298,-1166.4566883689001,-740.73429621497,-1065.27256915144,-1350.28080498888,-1665.13988260011,-1013.0498826426299,-1472.0894297683801,-1464,-1779,-1064,-1553, 1.أ.ب.7 الخدمات الشخصية والثقافية والترفيهية,,"1.A.b.7 Personal, cultural, and recreational services",-1658.5224377220297,-1953.3169464898701,-1121.2020827673,-1653.2542766456802,-1416.93923799211,-884.1668368037399,-1279.4337183428597,-1223.8118736718602,, 1.أ.ب.7 الخدمات الشخصية والثقافية والترفيهية,,,,,,,,,,,,,,,,,,,,,
Credit,,,,,,,,,,,,,,,568.97995262836,304.13418108851,427.80898693816,1583.62,2102,3330.9166966564,4671.62890685205,,دائــن,,Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.07794173662,162.39906193219,131.78838269798,179.71456626157,50.82156553332,86.80640764605,70.44422507977,96.06198282937,71.48792808361,122.10584545902,99.09005445938,135.12515893615,264.62677533262,451.99905773313,366.80153253921,500.19263439504,351,600,487,664,دائــن,,Credit,556.60836450456,950.71400416462,771.51206488402,1052.0822631032,1017.48076200789,1210.024958,1161.62395968,1282.49922716416,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,,,,,,,,,,,,,,,4462.5486103273,3696.09834081268,4311.67211418645,7084.179999999999,7962,9717.21244028128,9475.980573662619,,مديـن,,Debit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.28126309195,1333.6526508437,869.21196458558,1242.40273180607,842.56148604244,1104.59555299775,719.92333992383,1029.01796184866,982.88750159659,1288.56253382792,839.82435067435,1200.39772808759,1614.9075803215,2117.13894033324,1379.85141518184,1972.28206416342,1815,2379,1551,2217,مديـن,,Debit,2215.13080222659,2904.03095065449,1892.71414765132,2705.33653974888,2434.42,2094.19179480374,2441.05767802286,2506.31110083602,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.A.b.8 Maintenance and repair services,,,,,,,,,,,,,,,-418.9695115434101,-351.71298799999,-875.6068000000099,-41.479999999990014,-877,-3193.42296974,-3179.9474624581694,, 1.أ.ب.8 خدمات الصيانة والإصلاح ,,1.A.b.8 Maintenance and repair services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.693094893149976,-121.30729218165004,-118.67111693692999,-189.68419731798002,-10.94028478567003,-100.02094551582002,-99.13194789489,-141.61980980360997,-108.280482812,-241.62943425651997,-244.80373948335995,-280.89314344813,138.57838562095003,-24.52874722736999,-15.125957407380042,-140.40368098619,-12,-251,-248,-366, 1.أ.ب.8 خدمات الصيانة  والإصلاح ,,1.A.b.8 Maintenance and repair services,-441.16594674108,-877.03677992993,-891.6862991109099,-983.53394395808,-698.0167527360301,-1029.03678954375,-605.8930170000001,-847.00090317839,, 1.أ.ب.8 خدمات الصيانة  والإصلاح ,,,,,,,,,,,,,,,,,,,,,
Credit,,,,,,,,,,,,,,,1713,1062.32784000001,1115.99999999999,2763.6,2936,3197.6927676,3322.12238344794,,دائــن,,Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.39525690383,453.90994407776,473.8513495826,366.84344943581,259.47047841967,281.49513744697,293.86192684365,227.50029728972,272.57974705468,295.71716146572,308.70876014838,238.99433133121,675.0012445881,732.29744393071,764.46911249648,591.83219898471,717,778,812,629,دائــن,,Credit,781.02413138068,847.32157256436,884.54965217484,684.79741148012,799.19324726397,966.38650343379,739.469466,817.07316675018,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,,,,,,,,,,,,,,,2131.96951154341,1414.040828,1991.6067999999998,2805.07999999999,3813,6391.11573734,6502.06984590611,,مديـن,,Debit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.70216201068,575.21723625941,592.52246651953,556.52764675379,270.41076320534,381.51608296279,392.99387473854,369.12010709333,380.86022986668,537.34659572224,553.51249963174,519.88747477934,536.42285896715,756.82619115808,779.59506990386,732.2358799709,729,1029,1060,995,مديـن,,Debit,1222.19007812176,1724.35835249429,1776.23595128575,1668.3313554382,1497.21,1995.42329297754,1345.362483,1664.07406992857,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.A.b.9 Manufacturing services,,,,,,,,,,,,,,,-1423.14115752484,-1867.70324284777,-2275.15054867443,-5008.1900000000005,-5950,-7835.75569459004,-7692.30241711037,, 1.أ.ب.9 خدمات التصنيع,,1.A.b.9 Manufacturing services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-336.93246388320995,-359.61293418326,-341.10129663633006,-385.49446282204,-449.18076354026,-470.46289574137006,-460.30033902267996,-487.75924454346,-545.8109361729998,-573.3853356552399,-558.2580093586901,-597.6962674875001,-1209.45305631041,-1260.47250715618,-1243.2968057007802,-1294.9676308326302,-1438,-1497,-1479,-1536, 1.أ.ب.9 خدمات التصنيع,,1.A.b.9 Manufacturing services,-1894.0082347325601,-1971.7587110417398,-1948.3338271003101,-2021.6549217154297,-1842.1859615776702,-2422.34923121306,-1741.7815123415598,-1685.9857119780797,, 1.أ.ب.9 خدمات التصنيع,,,,,,,,,,,,,,,,,,,,,
Credit,,,,,,,,,,,,,,,2131.96951154341,1414.0408280000001,1991.6068,2805.08,3132,4050.9583054099603,4997.46371426925,,دائــن,,Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.67665759856,533.00685952366,559.65930325504,507.62669116615,352.63754808326,353.51981202812,371.19719596729,336.68627192133,496.67260293418,497.91522820862,522.8129520666,474.2060167906,699.53887737208,701.28905381496,736.35627051634,667.89579829662,781,783,822,746,دائــن,,Credit,1010.23776526744,1012.76728895826,1063.40817289969,964.54507828457,1171.36403842233,1157.029355,1267.99996565844,1401.07035518848,,دائــن,,,,,,,,,,,,,,,,,,,,,
