,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,القطاع الخارجي       External Sector,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,جدول 2: ميـزان المدفـوعــات,,Contd. 4 Table 2: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تابع 4 جدول 2: ميـزان المدفـوعــات,,Contd.4 Table 2: Balance of Payments,,,,,,,,,,تابع 4 جدول 2: ميـزان المدفـوعــات,,,,,,,,,,,,,,,,,,,,
(Million US$),,,,,,,,,,,,,,,,,,,,,,,(مليون US$),,(Million US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(مليون US$),,(Million US$),,,,,,,,,,(مليون US$),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005-12-01T00:00:00,2006-12-31T00:00:00,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015-12-31T00:00:00,2016-12-31T00:00:00,2017-12-31T00:00:00,2018-12-31T00:00:00,2019-12-31T00:00:00,2020-12-31T00:00:00,2021-12-31T00:00:00,2022-12-31T00:00:00,2023-12-31T00:00:00,2024-01-01T00:00:00,2025-01-01T00:00:00,,,,,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,
1.B.2 Investment income,3323.6266666666666,8548.200933955717,13042.35719774146,17120.59461984294,16585.84731473067,15360.864400198376,16763.88786341769,20512.885160753594,21831.37689112552,23679.87541426297,22046.1867937278,15880.032881709098,12372.334495557558,8751.307065929925,8731.499831076982,11170.698239202651,12331.184406809347,8846.733716392047,7969.3019226090355,9253.500196563064,11026.071175970572,,1.ب.2 دخل الاستثمار,,1.B.2 Investment income,1590.5612000897652,2191.1155482651416,2681.3976787220427,2085.1265068787675,2528.384598728595,3568.369042071672,3889.4131201472455,3056.190436793947,3686.191200798544,5006.673505313357,4413.953058094008,4013.7768556370343,4351.496115688066,4396.137975526491,4462.136697632699,3376.076525883413,3711.206165691112,4176.923362897699,4039.6860234034216,3433.0488482061437,3475.351685455307,4846.623675509651,4585.203576432557,3856.708926020176,4092.2994555604,5839.0583200803785,5512.03711099745,5069.4902741153655,4294.646560029253,6334.093357437162,6218.565048491112,4984.071925167995,5152.186571728494,6838.410473737936,6478.7284681425335,5210.549900654003,4452.280994994354,5969.00664957847,6665.223705646776,4959.675443508202,3163.1939569026404,4765.990874392496,4599.22400521651,3351.624045197451,2845.1882315847574,3209.016806483216,3333.3090155838536,2984.8204419057283,1847.131927643744,3014.3001010290695,2202.051231776893,1687.8238054802184,2488.1642052176667,3491.5898972029436,870.0391549597787,1881.7065736965944,-1846.445950949379,-61.725641428525705,5616.170222963976,7462.699608616581,2860.290440810032,2847.5653000195657,3532.9452990401146,3090.3833669396345,2717.5694992955764,1772.2777345338664,4967.266936291757,-610.3804537291518,2272.272628544968,3256.547054551419,1888.3442207173841,552.1380187952639,1.ب.2 دخل الاستثمار,,1.B.2 Investment income,3081.801843305314,914.8883801279575,2063.9266732624587,3192.8832998673324,2338.3419103205897,3635.594699085365,2118.6832113747832,2933.451355189832,,1.ب.2 دخل الاستثمار,,,,,,,,,,,,,,,,,,,,
1.B.2.1 Direct investment,-396.26666666666665,776.8409339557172,1788.8321977414587,969.9744880376107,104.83398139733605,711.304400198376,279.9545300843575,905.6851607535947,1220.3768911255227,1478.9420809296319,3072.390500394472,75.01973697496275,142.6168232358347,-806.6059000727415,1020.6265109532505,-2206.071770553027,-696.101714456352,4646.6492181203275,156.68419691583478,-2997.1379935898935,-2512.5541904241118,,1.ب.1.2 الاستثمار المباشر,,1.B.2.1 Direct investment,69.46120008976534,210.79054826514135,326.2426787220427,170.34650687876794,274.7845987285947,527.7207087383387,600.7697868139119,385.55710346061335,155.7750114838774,534.1953051000239,245.9357510433414,34.06842041036798,97.06944902140009,138.191308859824,-65.32996903396803,-65.09680744992002,191.206165691112,210.29669623103194,141.55269007008803,168.248848206144,14.885018788639961,90.1570088429841,147.6035764325574,27.308926020176052,169.09945556040003,401.92498674704535,193.7037776641173,140.95694078203195,222.24656002925332,394.426690770496,281.365048491112,322.3385918346613,418.7865717284933,284.210473737936,310.79513480919996,465.1499006540027,582.8896616610214,666.7587562451386,990.3949056467759,832.347176841536,-151.5367097640267,327.99434105916276,-71.42247285095728,-30.015421469216015,206.236533598056,-203.99293132518397,0.8870522542826317,139.48616870868003,-210.45202235692267,298.1253013617359,-546.2849848904401,-347.99419418711466,257.3230545249999,-400.49191916038933,41.64744406844535,1122.1479315201946,-2284.787099791933,-1237.7001699359707,-511.7568460494907,1828.1723452243677,-249.96297189463198,-41.02818105110127,-131.04565826758673,-274.06490324303206,627.9250963727759,3149.6,466.7074264699227,402.41669527762934,197.9801193454053,-294.58001567723454,81.33151866955207,171.95257457811192,1.ب.1.2 الاستثمار المباشر,,1.B.2.1 Direct investment,-533.9164369900614,-639.776096228952,-967.9699120243732,-855.4755483465068,-1102.4095612183094,289.48506199854114,-643.2093171133919,-1056.420374090952,,1.ب.1.2 الاستثمار المباشر,,,,,,,,,,,,,,,,,,,,
Credit,1240,2590.4533333333334,3751.0433333333335,3101.353333333333,2318.8433333333332,2961.3365,2691.6390000000006,3400.56125,3860.0199999999995,4183.179166666667,5847.318557290667,3161.2332036357175,3599.247977288048,2778.899566509667,4849.15903813176,1704.1818598452267,4733.715235676983,10400.6196125732,8518.209376745635,4757.4086056728665,5994.260715776265,,دائــن,,Credit,507.03333333333336,660.1083333333333,785.0516666666666,638.26,751.2,1013.4933333333333,1096.1833333333334,890.1666666666666,672.33,1062.4199999999998,784.98,581.6233333333333,649.4133333333334,691.2433333333333,488.56,489.62666666666667,746.3863333333334,769.7125,703.8428333333334,741.3948333333334,601.778,689.355,759.2715000000001,641.2345,786.4375,1024.51625,819.0224999999999,770.5849999999999,872.3125,1051.9425,944.4625,991.3025,1090.7666666666667,958.6225,988.0725,1145.7175,1264.6786666666667,1354.53136,1691.6976341333332,1536.4108964906666,556.0614817916587,1080.7990403126587,723.2270326351601,801.14564889624,1066.3884140874106,659.1555214001094,866.7138322379786,1006.9902095625494,659.3581845723813,1186.5779567156267,354.0497270360186,578.9136981856401,1210.7900744377919,554.892395033296,997.9075341935627,2085.5690344671093,-1315.1566829728479,-263.3624023474987,468.724485972232,2813.9764591933413,1022.8777154674987,1246.478680070096,1290.0097540887894,1174.3490860506,1945.4267994732,4603.2,1946.2840096455707,1905.7088034544292,2323.1500081355016,1855.7421350974935,2266.8827547133174,2072.4344787993227,دائــن,,Credit,1348.8484557017412,1276.6454849192107,990.2616825645947,1141.65298248732,948.2402237912187,2389.7605529723037,1506.8210945734827,1149.4388444392587,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,1636.2666666666667,1813.6123993776162,1962.2111355918746,2131.378845295723,2214.009351935997,2250.032099801624,2411.6844699156427,2494.876089246405,2639.6431088744775,2704.2370857370347,2774.9280568961944,3086.213466660755,3456.6311540522133,3585.5054665824077,3828.5325271785096,3910.253630398254,5429.816950133336,5753.970394452872,8361.525179829801,7754.54659926276,8506.814906200376,,مديـن,,Debit,437.572133243568,449.317785068192,458.808987944624,467.913493121232,476.4154012714053,485.7726245949946,495.41354651942135,504.60956320605334,516.5549885161226,528.224694899976,539.0442489566586,547.5549129229654,552.3438843119333,553.0520244735093,553.889969033968,554.7234741165867,555.1801676422214,559.4158037689681,562.2901432632453,573.1459851271894,586.89298121136,599.197991157016,611.6679235674426,613.925573979824,617.3380444396,622.5912632529546,625.3187223358826,629.628059217968,650.0659399707467,657.515809229504,663.097451508888,668.9639081653387,671.9800949381734,674.4120262620639,677.2773651908,680.5675993459973,681.7890050056453,687.7726037548614,701.3027284865573,704.0637196491306,707.5981915556854,752.804699253496,794.6495054861173,831.1610703654561,860.1518804893547,863.1484527252934,865.826779983696,867.5040408538694,869.810206929304,888.4526553538907,900.3347119264587,926.9078923727546,953.467019912792,955.3843141936853,956.2600901251174,963.4211029469147,969.6304168190853,974.3377675884719,980.4813320217228,985.8041139689734,1272.8406873621307,1287.5068611211973,1421.0554123563759,1448.413989293632,1317.501703100424,1453.6,1479.576583175648,1503.2921081768,2125.169888790096,2150.322150774728,2185.551236043765,1900.4819042212107,مديـن,,Debit,1882.7648926918025,1916.4215811481627,1958.231594588968,1997.1285308338267,2050.649785009528,2100.2754909737628,2150.0304116868747,2205.859218530211,,مديـن,,,,,,,,,,,,,,,,,,,,
1.B.2.2 Portfolio investment,2975.8933333333334,6217.088,9002.933333333332,14170.086798472,14077.04,13874.693333333333,15616.733333333334,18322.866666666665,20030.533333333333,21842.866666666665,18440.348666666665,14565.380551309332,10571.644289555727,6622.935099335999,3131.535532669332,9025.228385691413,9573.850756839169,3086.9870436026536,8345.834454387577,11869.44866755992,11579.613875527797,,1.ب.2.2 استثمارات الحافظة,,1.B.2.2 Portfolio investment,1216.88,1584.2599999999998,1884.1239999999998,1531.8239999999998,1802.9333333333334,2432.5333333333333,2630.9333333333334,2136.5333333333333,2887.349522648,3844.0782002133333,3846.1506403840003,3592.5084352266663,3367.8933333333334,3573.68,4030.6666666666665,3104.8,3368.1600000000003,3848.6666666666665,3658.6666666666665,2999.2,3187.5333333333333,4597.4,4223.866666666667,3607.9333333333334,3646.3333333333335,5006.333333333333,5020,4650.2,3911.6,5815.066666666667,5792.333333333333,4511.533333333334,4647.4,6456.333333333333,6075.933333333333,4663.2,3773.4195999999997,5216.567999999999,5552.895466666667,3897.4656,3128.9330666666665,4205.166933333333,4038.305884642666,3192.974666666667,2374.217781887374,3028.5532044750667,2884.169963329571,2284.703339863715,1495.7274166673333,2026.1195996673337,1993.8972833340001,1107.190799667333,1305.080883334,3169.7924496673327,-533.5968833326667,-809.7409169993336,-519.4362990393336,-30.45952922266685,4869.377290127333,4705.74692382608,2549.6855329273335,2168.4099750973337,2693.5821603785016,2162.173088436,1954.1178403037336,-1851.7500445074668,3823.3226858858343,-838.7034380794479,1885.4635167490483,3412.378507175019,1887.171357648672,1160.8210728148376,1.ب.2.2 استثمارات الحافظة,,1.B.2.2 Portfolio investment,2651.094657696743,1976.3215033132853,2316.3451981469525,4925.687308402938,2534.778361067774,3347.050580662755,1958.0848515110497,3739.700082286216,,1.ب.2.2 استثمارات الحافظة,,,,,,,,,,,,,,,,,,,,
Credit,2975.8933333333334,6217.088,9002.933333333332,14232.4,14219.733333333334,13963.866666666667,15724.466666666667,18479.933333333334,20204.4,22030.866666666665,18623.282,14736.313884642666,12832.323454243244,12551.503733333335,9243.405333333332,14165.90371385541,17096.697542397334,11617.789812382933,18156.00483173458,24995.729509586025,26516.061613301088,,دائــن,,Credit,1216.88,1584.2599999999998,1884.1239999999998,1531.8239999999998,1802.9333333333334,2432.5333333333333,2630.9333333333334,2136.5333333333333,2902.133333333333,3867.2,3869.0666666666666,3594,3392.8,3636.266666666667,4053.866666666667,3136.8,3396.8,3867.0666666666666,3660.266666666667,3039.733333333333,3219.5333333333333,4616.066666666667,4250.533333333334,3638.3333333333335,3682.3333333333335,5046.333333333333,5061.333333333333,4689.933333333333,3960.133333333333,5856.933333333333,5835.266666666666,4552.066666666667,4690.333333333333,6504.866666666667,6121.533333333334,4714.133333333333,3820.352933333333,5260.0346666666655,5598.762133333334,3944.1322666666665,3169.7330666666667,4247.5669333333335,4081.2392179759995,3237.7746666666667,2868.422654243243,3582.5842666666667,3413.3925333333336,2967.924,2429.4519999999998,3360.6293333333333,3460.4218666666666,3301.0005333333334,2692.4514666666664,4903.050933333333,805.8312000000001,842.0717333333331,376.6112573773331,1381.153537776,5755.231929477333,6652.906989224746,3699.5457092106667,4578.850634896001,4031.6810006826668,4786.620197608,3554.4193637704,444.5838970925334,5773.046287123333,1845.7402643966668,3669.159432081296,6285.544946507875,3967.66984905536,4233.630604090051,دائــن,,Credit,4869.437530094682,5336.265259824275,5622.708448808879,9167.31827085819,5802.790402583083,6984.126652407963,6212.0512368683785,7517.093321441661,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,,,,62.31320152800001,142.69333333333333,89.17333333333333,107.73333333333333,157.06666666666666,173.86666666666667,188,182.93333333333334,170.93333333333334,2260.6791646875167,5928.568633997334,6111.869800664001,5140.675328164,7522.846785558165,8530.802768780279,9810.170377347005,13126.280842026106,14936.447737773291,,مديـن,,Debit,,,,,,,,,14.783810685333332,23.121799786666667,22.916026282666667,1.4915647733333333,24.90666666666667,62.586666666666666,23.2,32,28.64,18.4,1.6,40.53333333333333,32,18.666666666666668,26.666666666666668,30.4,36,40,41.333333333333336,39.733333333333334,48.53333333333333,41.86666666666667,42.93333333333333,40.53333333333333,42.93333333333333,48.53333333333333,45.6,50.93333333333333,46.93333333333333,43.46666666666667,45.86666666666667,46.666666666666664,40.8,42.4,42.93333333333333,44.8,494.2048723558693,554.0310621916,529.2225700037627,683.2206601362852,933.7245833326667,1334.5097336659999,1466.5245833326667,2193.8097336660003,1387.3705833326667,1733.258483666,1339.4280833326668,1651.8126503326669,896.0475564166667,1411.6130669986667,885.85463935,1947.1600653986666,1149.8601762833334,2410.4406597986667,1338.0988403041654,2624.4471091719997,1600.3015234666666,2296.3339416000003,1949.7236012374988,2684.4437024761146,1783.695915332248,2873.1664393328556,2080.4984914066877,3072.809531275213,مديـن,,Debit,2218.3428723979387,3359.9437565109897,3306.3632506619274,4241.6309624552505,3268.012041515309,3637.0760717452076,4253.966385357328,3777.3932391554454,,مديـن,,,,,,,,,,,,,,,,,,,,
1.B.2.2.1 Investment income on equity and investment fund shares,,,,4293.820131805333,3134.1066666666666,3268.96,4106.266666666666,5068.933333333333,7000.133333333333,8535,6632.5656,4066.973866666667,3135.464735645816,1323.6133333333332,-3991.0866666666666,3312.020198481333,7629.902148877333,2254.593993502,5828.196780917247,9476.443876548357,9217.711759265092,,1.ب.1.2.2 دخل الاستثمار من حقوق الملكية وأسهم صناديق الاستثمار,,1.B.2.2.1 Investment income on equity and investment fund shares,,,,,,,,,558.2828559813333,1981.94486688,901.0839737173334,852.5084352266666,462.02666666666664,1295.28,751.7333333333333,625.0666666666667,436.4266666666666,1469.6,792.5333333333333,570.4,290,1955.3333333333333,1028.3333333333333,832.6,535,1968,1317.6666666666667,1248.2666666666667,816.4666666666667,2746.133333333333,1987.0666666666666,1450.4666666666667,1346.0666666666666,3548.4666666666667,2135.4,1505.0666666666666,1089.1722666666667,2571.8333333333335,2005.2266666666667,966.3333333333334,671.5797333333334,1722.5408,1057.6533333333332,615.2,388.2905443107973,1350.6814378084002,787.5261799962373,608.9665735303813,-137.64666666666665,1033.9066666666665,216.1600000000001,211.1933333333333,76.38666666666674,1109.4200000000003,-2434.54,-2742.3533333333335,-2418.5990365186667,-899.5639265546668,2862.588851656,3767.594309898667,1396.8514249013335,2160.520003728,1621.4115230346665,2451.1191972133333,1235.5759142734669,-1901.7068411081334,3307.689352102667,-386.9644317659999,1564.9765913586293,3145.636135399208,779.0163049546934,338.56774920471724,1.ب.1.2.2 دخل الاستثمار من حقوق الملكية وأسهم صناديق الاستثمار,,1.B.2.2.1 Investment income on equity and investment fund shares,1688.6560123306824,1952.480397802008,1036.9156056347201,4798.391860780946,1684.5745373714722,2960.858846949946,2081.1089959545357,2491.169378989136,,1.ب.1.2.2 دخل الاستثمار من حقوق الملكية وأسهم صناديق الاستثمار,,,,,,,,,,,,,,,,,,,,
Credit,,,,4356.133333333333,3276.8,3358.133333333333,4214,5226,7174,8723,6815.498933333333,4237.907200000001,4336.013333333333,4600.679999999999,-317.4333333333331,4833.776971814667,10819.498599917333,6876.225245235334,10140.891971317247,15083.489049615024,15130.626149131758,,دائــن,,Credit,,,,,,,,,573.0666666666667,2005.0666666666666,924,854,486.93333333333334,1357.8666666666666,774.9333333333333,657.0666666666667,465.06666666666666,1488,794.1333333333333,610.9333333333333,322,1974,1055,863,571,2008,1359,1288,865,2788,2030,1491,1389,3597,2181,1556,1136.1055999999999,2615.3,2051.0933333333332,1013,712.3797333333333,1764.9408,1100.5866666666666,660,732.0266666666666,1627.76,1075.72,900.5066666666667,475.15333333333336,1896.84,1217.76,1010.9266666666666,975.1066666666667,2241.9533333333334,-1594.54,-1939.9533333333334,-1844.877273852,-848.1505932213333,3314.125197256,4212.679641632,2098.8960574346665,2946.7259298613335,2431.686664901333,3342.18994772,2426.7564377401336,-662.7490915081332,4501.625338236,610.5925607673333,2554.4990585586293,4259.998006599208,1963.7508422880267,1362.6440638713839,دائــن,,Credit,2842.8060923306825,3293.7824791353414,2480.3176485680533,6466.582829580947,3167.352935931472,4467.60282988328,3814.8812323545358,3680.789150962469,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,,,,62.31320152800001,142.69333333333333,89.17333333333333,107.73333333333333,157.06666666666666,173.86666666666667,188,182.93333333333334,170.93333333333334,1200.5485976875173,3277.0666666666666,3673.6533333333336,1521.7567733333335,3189.59645104,4621.631251733333,4312.6951904,5607.045173066666,5912.914389866666,,مديـن,,Debit,,,,,,,,,14.783810685333332,23.121799786666667,22.916026282666667,1.4915647733333333,24.90666666666667,62.586666666666666,23.2,32,28.64,18.4,1.6,40.53333333333333,32,18.666666666666668,26.666666666666668,30.4,36,40,41.333333333333336,39.733333333333334,48.53333333333333,41.86666666666667,42.93333333333333,40.53333333333333,42.93333333333333,48.53333333333333,45.6,50.93333333333333,46.93333333333333,43.46666666666667,45.86666666666667,46.666666666666664,40.8,42.4,42.93333333333333,44.8,343.7361223558693,277.0785621916,288.1938200037627,291.54009313628535,612.8,862.9333333333333,1001.6,799.7333333333333,898.7199999999999,1132.5333333333333,840,802.4,573.7217626666667,51.413333333333334,451.53634559999995,445.0853317333333,702.0446325333334,786.2059261333333,810.2751418666667,891.0707505066667,1191.1805234666667,1238.9577496,1193.9359861333332,997.5569925333333,989.5224672,1114.3618712,1184.7345373333333,1024.0763146666666,مديـن,,Debit,1154.15008,1341.3020813333335,1443.4020429333332,1668.1909688,1482.77839856,1506.7439829333334,1733.7722364,1189.6197719733332,,مديـن,,,,,,,,,,,,,,,,,,,,
1.B.2.2.2 Interest ,,,,9876.266666666666,10942.933333333332,10605.733333333334,11510.466666666667,13253.933333333332,13030.4,13307.866666666667,11807.783066666665,10498.406684642667,7436.17955390991,5299.321766002667,7122.622199335999,5713.20818721008,1943.9486079618348,832.3930501006537,2517.6376734703285,2393.0047910115613,2361.902116262705,,1.ب.2.2.2 الفائدة,,1.B.2.2.2 Interest ,,,,,,,,,2329.0666666666666,1862.1333333333334,2945.0666666666666,2740,2905.866666666667,2278.4,3278.9333333333334,2479.733333333333,2931.733333333333,2379.0666666666666,2866.133333333333,2428.8,2897.5333333333333,2642.0666666666666,3195.5333333333333,2775.3333333333335,3111.3333333333335,3038.3333333333335,3702.3333333333335,3401.9333333333334,3095.133333333333,3068.9333333333334,3805.266666666667,3061.0666666666666,3301.3333333333335,2907.866666666667,3940.5333333333333,3158.133333333333,2684.2473333333332,2644.7346666666663,3547.6688,2931.1322666666665,2457.3533333333335,2482.626133333333,2980.6525513093334,2577.7746666666667,1985.927237576576,1677.8717666666669,2096.6437833333334,1675.7367663333332,1633.374083334,992.2129330006667,1777.737283334,895.9974663339999,1228.6942166673332,2060.372449667333,1900.9431166673332,1932.6124163339996,1899.162737479333,869.1043973319998,2006.7884384713334,938.1526139274133,1152.834108026,7.889971369333216,1072.1706373438349,-288.94610877733334,718.5419260302667,49.95679660066671,515.633333783168,-451.73900631344804,320.4869253904188,266.7423717758109,1108.1550526939786,822.2533236101202,1.ب.2.2.2 الفائدة,,1.B.2.2.2 Interest ,962.4386453660613,23.84110551127742,1279.429592512232,127.29544762199173,850.2038236963012,386.19173371280823,-123.02414444348543,1248.53070329708,,1.ب.2.2.2 الفائدة,,,,,,,,,,,,,,,,,,,,
Credit,,,,9876.266666666666,10942.933333333332,10605.733333333334,11510.466666666667,13253.933333333332,13030.4,13307.866666666667,11807.783066666665,10498.406684642667,8496.31012090991,7950.823733333334,9560.838666666667,9332.126742040746,6277.1989424799995,4741.5645671475995,8015.112860417334,9912.240459971003,11385.43546416933,,دائــن,,Credit,,,,,,,,,2329.0666666666666,1862.1333333333334,2945.0666666666666,2740,2905.866666666667,2278.4,3278.9333333333334,2479.733333333333,2931.733333333333,2379.0666666666666,2866.133333333333,2428.8,2897.5333333333333,2642.0666666666666,3195.5333333333333,2775.3333333333335,3111.3333333333335,3038.3333333333335,3702.3333333333335,3401.9333333333334,3095.133333333333,3068.9333333333334,3805.266666666667,3061.0666666666666,3301.3333333333335,2907.866666666667,3940.5333333333333,3158.133333333333,2684.2473333333332,2644.7346666666663,3547.6688,2931.1322666666665,2457.3533333333335,2482.626133333333,2980.6525513093334,2577.7746666666667,2136.3959875765763,1954.8242666666667,2337.6725333333334,2067.4173333333333,1954.2986666666666,1463.7893333333334,2242.661866666667,2290.0738666666666,1717.3447999999999,2661.0976,2400.3712,2782.0250666666666,2221.488531229333,2229.3041309973332,2441.1067322213335,2440.2273475927464,1600.649651776,1632.1247050346667,1599.9943357813333,1444.430249888,1127.6629260302666,1107.3329886006666,1271.4209488873335,1235.1477036293334,1114.6603735226668,2025.5469399086667,2003.9190067673333,2870.986540218667,دائــن,,Credit,2026.631437764,2042.4827806889334,3142.3908002408266,2700.7354412772424,2635.4374666516105,2516.5238225246826,2397.1700045138427,3836.3041704791917,,دائــن,,,,,,,,,,,,,,,,,,,,
Debit,,,,,,,,,,,,,1060.130567,2651.501967330667,2438.216467330667,3618.9185548306664,4333.250334518166,3909.1715170469465,5497.475186947006,7519.235668959441,9023.533347906625,,مديـن,,Debit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.46875,276.95250000000004,241.02875,391.680567,320.92458333266666,471.57640033266665,464.92458333266666,1394.0764003326667,488.65058333266666,600.7251503326667,499.4280833326667,849.4126503326667,322.32579375,1360.1997336653333,434.31829374999995,1502.0747336653333,447.81554375,1624.2347336653334,527.8236984374987,1733.3763586653333,409.121,1057.376192,755.7876151041653,1686.8867099427814,794.1734481322479,1758.8045681328558,895.7639540733546,2048.7332166085466,مديـن,,Debit,1064.1927923979388,2018.641675177656,1862.9612077285944,2573.439993655251,1785.2336429553095,2130.3320888118747,2520.1941489573283,2587.7734671821117,,مديـن,,,,,,,,,,,,,,,,,,,,
1.B.2.3 Other investment,744,1554.2720000000002,2250.5916666666667,1980.5333333333333,2403.9733333333334,774.8666666666667,867.2,1284.3333333333333,580.4666666666667,358.06666666666666,533.4476266666667,1239.6325934248002,1658.0733827659947,2934.9778666666666,4579.337787454399,4351.541624064266,3453.4353644265307,1113.0974546690668,-533.2167286943765,381.1895225930377,1959.0114908668872,,1.ب.3.2 الاستثمارات الأخرى,,1.B.2.3 Other investment,304.22,396.065,471.031,382.956,450.6666666666667,608.115,657.7099999999999,534.1,643.0666666666667,628.4,321.8666666666667,387.2,886.5333333333333,684.2666666666667,496.8,336.37333333333333,151.84,117.96000000000001,239.46666666666667,265.6,272.93333333333334,159.06666666666666,213.73333333333332,221.46666666666667,276.8666666666667,430.8,298.3333333333333,278.3333333333333,160.8,124.6,144.86666666666667,150.2,86,97.86666666666666,92,82.2,95.97173333333333,85.67989333333335,121.93333333333335,229.86266666666668,185.7976,232.82960000000003,632.3405934248001,188.66479999999999,264.733916099328,384.4565333333333,448.25200000000007,560.6309333333334,561.8565333333333,690.0552000000001,754.4389333333332,928.6272,925.7602673586666,722.289366696,1361.988594224,1569.2995591757333,957.777447881888,1206.4340577301118,1258.549778886133,928.7803395661333,560.5678797773307,720.1835059733334,970.4087969292,1202.2751817466667,135.52656261906665,474.42777904133334,677.2368239360001,-174.0937109273332,188.82899245051462,138.7485630536345,-80.15865560083985,-780.6356285976857,1.ب.3.2 الاستثمارات الأخرى,,1.B.2.3 Other investment,964.623622598632,-421.65702695637594,715.5513871398798,-877.3284601890987,905.9731104711253,-0.940943575930578,803.8076769771253,250.17164699456796,,1.ب.3.2 الاستثمارات الأخرى,,,,,,,,,,,,,,,,,,,,
